column_x	column_y	correlation	row	column
Afspreken_met_vrienden	Afspreken_met_vrienden	1	1	1
Muziek_spelen_of_beluisteren	Afspreken_met_vrienden	0,246334977	2	1
Muziek_spelen_of_beluisteren	Muziek_spelen_of_beluisteren	1	2	2
Een_goed_gesprek	Afspreken_met_vrienden	0,377542477	3	1
Een_goed_gesprek	Muziek_spelen_of_beluisteren	0,314402885	3	2
Een_goed_gesprek	Een_goed_gesprek	1	3	3
Sporten	Afspreken_met_vrienden	0,245805661	4	1
Sporten	Muziek_spelen_of_beluisteren	0,175129267	4	2
Sporten	Een_goed_gesprek	0,208349885	4	3
Sporten	Sporten	1	4	4
Feesten,_uitgaan	Afspreken_met_vrienden	0,427061088	5	1
Feesten,_uitgaan	Muziek_spelen_of_beluisteren	0,195209739	5	2
Feesten,_uitgaan	Een_goed_gesprek	0,212905478	5	3
Feesten,_uitgaan	Sporten	0,2893741	5	4
Feesten,_uitgaan	Feesten,_uitgaan	1	5	5
Boeken_lezen	Afspreken_met_vrienden	0,060524037	6	1
Boeken_lezen	Muziek_spelen_of_beluisteren	0,138278146	6	2
Boeken_lezen	Een_goed_gesprek	0,204308447	6	3
Boeken_lezen	Sporten	0,099749837	6	4
Boeken_lezen	Feesten,_uitgaan	0,093446827	6	5
Boeken_lezen	Boeken_lezen	1	6	6
Vrijwilligerswerk_doen	Afspreken_met_vrienden	0,157133144	7	1
Vrijwilligerswerk_doen	Muziek_spelen_of_beluisteren	0,088061699	7	2
Vrijwilligerswerk_doen	Een_goed_gesprek	0,177529289	7	3
Vrijwilligerswerk_doen	Sporten	0,173683124	7	4
Vrijwilligerswerk_doen	Feesten,_uitgaan	0,176597881	7	5
Vrijwilligerswerk_doen	Boeken_lezen	0,209284216	7	6
Vrijwilligerswerk_doen	Vrijwilligerswerk_doen	1	7	7
Gamen	Afspreken_met_vrienden	-0,03124629	8	1
Gamen	Muziek_spelen_of_beluisteren	0,042895766	8	2
Gamen	Een_goed_gesprek	-0,089361699	8	3
Gamen	Sporten	-0,001714386	8	4
Gamen	Feesten,_uitgaan	0,019885544	8	5
Gamen	Boeken_lezen	0,049474076	8	6
Gamen	Vrijwilligerswerk_doen	0,039339121	8	7
Gamen	Gamen	1	8	8
Series_of_films_kijken	Afspreken_met_vrienden	0,042085142	9	1
Series_of_films_kijken	Muziek_spelen_of_beluisteren	0,143220163	9	2
Series_of_films_kijken	Een_goed_gesprek	0,090552581	9	3
Series_of_films_kijken	Sporten	-0,00344665	9	4
Series_of_films_kijken	Feesten,_uitgaan	0,081375915	9	5
Series_of_films_kijken	Boeken_lezen	0,134191215	9	6
Series_of_films_kijken	Vrijwilligerswerk_doen	-0,016481605	9	7
Series_of_films_kijken	Gamen	0,226424764	9	8
Series_of_films_kijken	Series_of_films_kijken	1	9	9
In_de_natuur/buiten_zijn	Afspreken_met_vrienden	0,12670818	10	1
In_de_natuur/buiten_zijn	Muziek_spelen_of_beluisteren	0,195176378	10	2
In_de_natuur/buiten_zijn	Een_goed_gesprek	0,258917321	10	3
In_de_natuur/buiten_zijn	Sporten	0,279001801	10	4
In_de_natuur/buiten_zijn	Feesten,_uitgaan	0,068228023	10	5
In_de_natuur/buiten_zijn	Boeken_lezen	0,20802252	10	6
In_de_natuur/buiten_zijn	Vrijwilligerswerk_doen	0,154073254	10	7
In_de_natuur/buiten_zijn	Gamen	-0,029729332	10	8
In_de_natuur/buiten_zijn	Series_of_films_kijken	0,136208784	10	9
In_de_natuur/buiten_zijn	In_de_natuur/buiten_zijn	1	10	10
Activiteiten_van_een_studentenvereniging	Afspreken_met_vrienden	0,139260701	11	1
Activiteiten_van_een_studentenvereniging	Muziek_spelen_of_beluisteren	0,05630442	11	2
Activiteiten_van_een_studentenvereniging	Een_goed_gesprek	0,052287881	11	3
Activiteiten_van_een_studentenvereniging	Sporten	0,068595206	11	4
Activiteiten_van_een_studentenvereniging	Feesten,_uitgaan	0,256070922	11	5
Activiteiten_van_een_studentenvereniging	Boeken_lezen	0,075469481	11	6
Activiteiten_van_een_studentenvereniging	Vrijwilligerswerk_doen	0,16009742	11	7
Activiteiten_van_een_studentenvereniging	Gamen	0,114609141	11	8
Activiteiten_van_een_studentenvereniging	Series_of_films_kijken	0,012457518	11	9
Activiteiten_van_een_studentenvereniging	In_de_natuur/buiten_zijn	0,02128397	11	10
Activiteiten_van_een_studentenvereniging	Activiteiten_van_een_studentenvereniging	1	11	11
Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	Afspreken_met_vrienden	0,100827908	12	1
Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	Muziek_spelen_of_beluisteren	0,043577518	12	2
Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	Een_goed_gesprek	0,032176205	12	3
Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	Sporten	0,018853542	12	4
Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	Feesten,_uitgaan	0,203052582	12	5
Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	Boeken_lezen	0,058942644	12	6
Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	Vrijwilligerswerk_doen	0,141219896	12	7
Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	Gamen	0,104381329	12	8
Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	Series_of_films_kijken	-0,000708452	12	9
Mijn_actief_lidmaatschap_van_een_of_meerdere_studentenverenigingen	In_de_natuur/buiten_zijn	-0,024083422	12	10
